title,reference,doc_type,doc_type_label,published_date,last_modified,landing_url
CP26/6: Annex 4A Underlying exposures - CLOs[xlsx],,CP,Consultation papers,2026-02-17,,https://www.fca.org.uk/publication/consultation/cp26-6-annex-4a.xlsx
CP26-6: PRA/FCA- Private securitisation notification template[xlsx],,CP,Consultation papers,2026-02-17,,https://www.fca.org.uk/publication/consultation/cp26-6-private-securitisationnotification-template.xlsx
CP26/5: Aligning listed issuers’ sustainability disclosures with international standards[pdf],CP26/5,CP,Consultation papers,2026-01-30,,https://www.fca.org.uk/publication/consultation/cp26-5.pdf
CP26/4: Application of FCA Handbook for regulated cryptoasset activities – part 2[pdf],CP26/4,CP,Consultation papers,2026-01-23,,https://www.fca.org.uk/publication/consultation/cp26-4.pdf
CP26/3: Retail Banking Business Models (R2B2)[pdf],CP26/3,CP,Consultation papers,2026-01-14,,https://www.fca.org.uk/publication/consultation/cp26-3.pdf
"CP26/1: The Value for Money Framework: Response to consultation, further consultation and discussion paper[pdf]",CP26/1,CP,Consultation papers,2026-01-08,,https://www.fca.org.uk/publication/consultation/cp26-1.pdf
Note on the construction of CP25/31 Cost Benefit Analysis (CBA)[pdf],CP25/31,CP,Consultation papers,2026-01-06,,https://www.fca.org.uk/publication/consultation/note-construction-cp25-31-cost-benefit-analysis.pdf
CP25/40: Regulating cryptoasset activities[pdf],CP25/40,CP,Consultation papers,2025-12-16,,https://www.fca.org.uk/publication/consultation/cp25-40.pdf
CP25/41: Regulating Cryptoassets: Admissions & Disclosures and Market Abuse Regime for Cryptoassets[pdf],CP25/41,CP,Consultation papers,2025-12-16,,https://www.fca.org.uk/publication/consultation/cp25-41.pdf
CP25/42: A prudential regime for cryptoasset firms[pdf],CP25/42,CP,Consultation papers,2025-12-16,,https://www.fca.org.uk/publication/consultation/cp25-42.pdf
CP25/39: Adapting our requirements for a changing pensions market[pdf],CP25/39,CP,Consultation papers,2025-12-11,,https://www.fca.org.uk/publication/consultation/cp25-39.pdf
CP25/38: Enhancing fund liquidity risk management[pdf],CP25/38,CP,Consultation papers,2025-12-09,,https://www.fca.org.uk/publication/consultation/cp25-38.pdf
CP25/37: Targeted clarifications of Handbook materials[pdf],CP25/37,CP,Consultation papers,2025-12-09,,https://www.fca.org.uk/publication/consultation/cp25-37.pdf
CP25/36: Client categorisation and conflicts of interest[pdf],CP25/36,CP,Consultation papers,2025-12-08,,https://www.fca.org.uk/publication/consultation/cp25-36.pdf
CP25/35: Quarterly consultation paper No. 50[pdf],CP25/35,CP,Consultation papers,2025-12-05,,https://www.fca.org.uk/publication/consultation/cp25-35.pdf
"CP25/34: ESG (environmental, social, governance) ratings: Proposed approach to regulation[pdf]",CP25/34,CP,Consultation papers,2025-12-01,,https://www.fca.org.uk/publication/consultation/cp25-34.pdf
Proposed SSR Sourcebook: derivation and changes table – accompanying CP25/29[pdf],CP25/29,CP,Consultation papers,2025-11-28,,https://www.fca.org.uk/publication/consultation/cp25-29-derivation-changes-table.pdf
CP25/32: Improving the UK transaction reporting regime[pdf],CP25/32,CP,Consultation papers,2025-11-21,,https://www.fca.org.uk/publication/consultation/cp25-32.pdf
CP25/33: Regulatory fees and levies: policy proposals for 2026/27[pdf],CP25/33,CP,Consultation papers,2025-11-21,,https://www.fca.org.uk/publication/consultation/cp25-33.pdf
CP25/30: Streamlining the UK EMIR Intragroup Regime[pdf],CP25/30,CP,Consultation papers,2025-11-05,,https://www.fca.org.uk/publication/consultation/cp25-30.pdf
CP25/28: Progressing fund tokenisation[pdf],CP25/28,CP,Consultation papers,2025-10-14,,https://www.fca.org.uk/publication/consultation/cp25-28.pdf
CP25/27: Motor Finance Consumer Redress Scheme[pdf],CP25/27,CP,Consultation papers,2025-10-07,,https://www.fca.org.uk/publication/consultation/cp25-27.pdf
CP25/27: Technical Annex 2: State of Competition in the Motor Finance Market[pdf],,CP,Consultation papers,2025-10-07,,https://www.fca.org.uk/publication/consultation/cp25-27-technical-annex-2.pdf
